日期,前日刪除筆數（含台北通）,累積刪除筆數（含台北通）,累積調閱筆數,資料更新時間
2021-11-18,13605191,2651493716,12133436,2021-11-18 03:00:04
2021-11-19,11898154,2663391870,12150096,2021-11-19 03:00:04
2021-11-20,14288198,2677680068,12163044,2021-11-20 03:20:02
2021-11-21,16243021,2693923089,12164687,2021-11-21 03:00:04
2021-11-22,14114292,2708037381,12166347,2021-11-22 03:00:02
2021-11-23,14351091,2722388472,12168405,2021-11-23 03:00:06
2021-11-24,14379269,2736767741,12170068,2021-11-24 03:00:01
2021-11-25,14253143,2751020884,12170068,2021-11-25 03:00:03
2021-11-26,14085655,2765106539,12170074,2021-11-26 03:00:01
2021-11-27,15113908,2780220447,12170074,2021-11-27 03:00:01
2021-11-28,15799953,2796020400,12170074,2021-11-28 03:00:00
2021-11-29,14627667,2810648067,12170099,2021-11-29 03:00:02
2021-11-30,13605455,2824253522,12170111,2021-11-30 03:00:00
2021-12-01,13028608,2837282130,12170132,2021-12-01 03:00:00
2021-12-02,12975547,2850257677,12170132,2021-12-02 02:59:59
2021-12-03,12823857,2863081534,12172760,2021-12-03 02:59:59
2021-12-04,14670345,2877751879,12174002,2021-12-04 02:59:59
2021-12-05,15355070,2893106949,12175673,2021-12-05 08:19:58
2021-12-06,13902489,2907009438,12177301,2021-12-06 02:59:58
2021-12-07,11898786,2918908224,12182931,2021-12-07 03:00:15
2021-12-08,12012635,2930920859,12194248,2021-12-08 03:00:06
2021-12-09,12398978,2943319837,12195819,2021-12-09 03:00:06
2021-12-10,12339347,2955659184,12282381,2021-12-10 03:00:06
2021-12-11,12729148,2968388332,12426299,2021-12-11 03:00:05
2021-12-12,13241165,2981629497,12463843,2021-12-12 03:00:06
2021-12-13,12800081,2994429578,12516199,2021-12-13 03:00:05
2021-12-14,12228696,3006658274,12529438,2021-12-14 03:00:06
2021-12-15,11664576,3018322850,12539726,2021-12-15 03:00:06
2021-12-16,11633750,3029956600,12564636,2021-12-16 03:00:18
2021-12-17,10951363,3040907963,12584936,2021-12-17 03:00:06
2021-12-19,12917917,3066467351,12624100,2021-12-19 04:00:05
2021-12-20,12347625,3078814976,12644328,2021-12-20 03:00:07
2021-12-21,6302381,3085117357,12664958,2021-12-21 03:00:06
2021-12-21,10576328,3089391304,12664958,2021-12-21 10:20:05
2021-12-21,10576328,3089391304,12664958,2021-12-21 10:20:05
2021-12-22,10165036,3099556340,12770174,2021-12-22 03:00:17
2021-12-23,10870995,3110427335,12791764,2021-12-23 16:20:07
2021-12-27,11260346,3154641297,12861721,2021-12-27 16:40:06
2021-12-28,11010819,3165652116,12872465,2021-12-28 03:00:07
2021-12-28,11010819,3165652116,12872465,2021-12-28 09:00:05
2021-12-28,11010819,3165652116,12872465,2021-12-28 09:00:05
2021-12-29,10382671,3176034787,12872749,2021-12-29 03:00:10
2021-12-30,10055205,3186089992,12873139,2021-12-30 03:00:20
2021-12-31,10029941,3196119933,12873593,2021-12-31 03:00:17
2022-01-01,11038427,3207158360,12874095,2022-01-01 03:00:11
2022-01-02,11647343,3218805703,12878486,2022-01-02 07:00:05
2022-01-03,10501866,3229307569,12887027,2022-01-03 03:00:17
2022-01-04,9642712,3238950281,12921622,2022-01-04 03:00:07
2022-01-05,9685649,3248635930,13262547,2022-01-05 03:00:14
2022-01-06,9801798,3258437728,13273191,2022-01-06 03:00:14
2022-01-07,9643196,3268080924,13288885,2022-01-07 03:00:11
2022-01-08,11006333,3279087257,13316492,2022-01-08 03:00:16
2022-01-09,11841243,3290928500,13352273,2022-01-09 03:00:09
2022-01-10,9956504,3300885004,13408466,2022-01-10 03:00:12
2022-01-11,9492854,3310377858,13485162,2022-01-11 03:00:06
2022-01-12,9556993,3319934851,13589319,2022-01-12 03:00:08
2022-01-13,9847215,3329782066,13945922,2022-01-13 11:00:05
2022-01-14,9753863,3339535929,14282818,2022-01-14 03:00:16
