刪除統計期間始日,刪除統計期間末日,累積刪除簡訊則數
2021-05-19,2021-05-29,124708846
2021-05-19,2021-06-05,233753972
2021-05-19,2021-06-12,358520100
2021-05-19,2021-06-19,483602905
2021-05-19,2021-06-26,603865145
2021-05-19,2021-07-03,733079055
2021-05-19,2021-07-10,864754479
2021-05-19,2021-07-17,995247917
2021-05-19,2021-07-24,1115344517
2021-05-19,2021-07-31,1238888434
2021-05-19,2021-08-07,1352840198
2021-05-19,2021-08-14,1485301942
2021-05-19,2021-08-28,1750243564
2021-05-19,2021-09-04,1879849043
2021-05-19,2021-09-18,2132426641
2021-05-19,2021-09-25,2259592694
2021-05-19,2021-10-02,2386932289
2021-05-19,2021-10-09,2511818756
2021-05-19,2021-10-16,2627180338
2021-05-19,2021-10-23,2729558842
2021-05-19,2021-10-30,2830201244
2021-05-19,2021-11-06,2925828900
2021-05-19,2021-11-13,3012947108
2021-05-19,2021-11-20,3096355580
2021-05-19,2021-12-04,3245983529
2021-05-19,2021-12-11,3316768746
2021-05-19,2021-12-18,3384933916
2021-05-19,2021-12-25,3447559684
2021-05-19,2022-01-08,3567365909
2021-05-19,2022-01-15,3636305415
2021-05-19,2022-01-22,3708895618
2021-05-19,2022-02-05,3893293354
2021-05-19,2022-02-12,3986549143
2021-05-19,2022-02-19,4072085981
2021-05-19,2022-02-26,4146652948
2021-05-19,2022-03-12,4265487334
2021-05-19,2022-03-19,4335029506
2021-05-19,2022-03-26,4397803970
2021-05-19,2022-04-02,4495364846
2021-05-19,2022-04-09,4574315770
2021-05-19,2022-05-15,4655918081
2021-05-19,2022-05-22,4738435944
2021-05-19,2022-05-26,4780254465
