發送統計期間始日,發送統計期間末日,累積發送簡訊則數
2021-05-19,2021-06-27,619456723
2021-05-19,2021-07-04,749616541
2021-05-19,2021-07-11,881568802
2021-05-19,2021-07-18,1012201212
2021-05-19,2021-07-25,1131968621
2021-05-19,2021-08-01,1254651256
2021-05-19,2021-08-08,1370887647
2021-05-19,2021-08-15,1504604236
2021-05-19,2021-08-22,1637767638
2021-05-19,2021-08-29,1768929831
2021-05-19,2021-09-05,1898451049
2021-05-19,2021-09-12,2023526226
2021-05-19,2021-09-26,2278382864
2021-05-19,2021-10-03,2404899751
2021-05-19,2021-10-17,2643748380
2021-05-19,2021-10-24,2743580970
2021-05-19,2021-10-31,2844704067
2021-05-19,2021-11-07,2939541780
2021-05-19,2021-11-14,3025563595
2021-05-19,2021-11-21,3108509626
2021-05-19,2021-11-28,3183012360
2021-05-19,2021-12-05,3256312923
2021-05-19,2021-12-12,3326558192
2021-05-19,2021-12-19,3394746910
2021-05-19,2022-01-02,3516289665
2021-05-19,2022-01-09,3576669399
2021-05-19,2022-01-16,3646904144
2021-05-19,2022-01-23,3723613968
2021-05-19,2022-02-06,3906176696
2021-05-19,2022-02-13,3999666655
2021-05-19,2022-02-20,4081372883
2021-05-19,2022-03-06,4237592224
2021-05-19,2022-03-13,4309731391
2021-05-19,2022-03-20,4378628101
2021-05-19,2022-03-27,4439981288
2021-05-19,2022-04-10,4586001830
2021-05-19,2022-04-17,4667844587
2021-05-19,2022-04-24,4750326205
2021-05-19,2022-04-27,4780254465
